Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
6M,"EMA(12/50) | Pivot(5,5)",14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,EMA(50),14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50),14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50),14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50),14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | Pivot(7,7)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | Pivot(7,5)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | Pivot(5,7)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | Pivot(5,5)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50) | SL:15%,14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50) | SL:15%,14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50) | SL:15%,14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,EMA(50) | SL:15%,14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | SL:15% | Pivot(7,7)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | SL:15% | Pivot(7,5)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | SL:15% | Pivot(5,7)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | SL:15% | Pivot(5,5)",14720.07135185526,47.20071351855261,119.13775231818514,-15.557494049939349,2.132506156289751,2,30.11568052739591,17.085032991156694
6M,"EMA(50) | SL:10% | Pivot(5,5)",13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
6M,"EMA(50) | SL:10% | Pivot(5,7)",13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
6M,"EMA(50) | SL:10% | Pivot(7,5)",13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
6M,"EMA(50) | SL:10% | Pivot(7,7)",13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
6M,EMA(50) | SL:10%,13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
6M,EMA(50) | SL:10%,13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
6M,EMA(50) | SL:10%,13931.097775987111,39.31097775987113,95.96127348486756,-14.841884773294044,1.89051874003757,4,22.225944768714434,17.085032991156694
