Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
5Y,"EMA(12/21) | SL:15% | Pivot(7,5)",33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
5Y,"EMA(12/21) | SL:15% | Pivot(7,7)",33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
5Y,EMA(12/21) | SL:15%,33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
5Y,EMA(12/21) | SL:15%,33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
5Y,EMA(12/21) | SL:15%,33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
5Y,EMA(12/21) | SL:15%,33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
3Y,"EMA(50) | SL:15% | Pivot(5,5)",34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,"EMA(50) | SL:15% | Pivot(5,7)",34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,"EMA(50) | SL:15% | Pivot(7,5)",34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,"EMA(50) | SL:15% | Pivot(7,7)",34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,EMA(50) | SL:15%,34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,EMA(50) | SL:15%,34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,EMA(50) | SL:15%,34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,EMA(50) | SL:15%,34070.04550890912,240.7004550890912,50.51476937952395,-38.09142324834921,1.148491299210299,24,120.34464497131816,120.35581011777305
3Y,EMA(12/50),32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,EMA(12/50),32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,EMA(12/50),32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,EMA(12/50),32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,"EMA(12/50) | Pivot(7,7)",32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,"EMA(12/50) | Pivot(7,5)",32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,"EMA(12/50) | Pivot(5,7)",32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
3Y,"EMA(12/50) | Pivot(5,5)",32609.706548540496,226.09706548540493,48.33131015526983,-40.985916676945656,1.089013096507092,8,105.74125536763192,120.35581011777305
5Y,"EMA(12/21) | Pivot(5,5)",30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,"EMA(12/21) | Pivot(5,7)",30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,"EMA(12/21) | Pivot(7,5)",30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,"EMA(12/21) | Pivot(7,7)",30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,EMA(12/21),30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,EMA(12/21),30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,EMA(12/21),30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
5Y,EMA(12/21),30814.401005005133,208.14401005005132,25.261526106035493,-49.06549822383645,0.7436035397812106,20,105.25712979696996,102.8868802530814
3Y,EMA(9/21),30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,EMA(9/21),30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,EMA(9/21),30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,EMA(9/21),30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,"EMA(9/21) | Pivot(7,7)",30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,"EMA(9/21) | Pivot(7,5)",30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,"EMA(9/21) | Pivot(5,7)",30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
3Y,"EMA(9/21) | Pivot(5,5)",30941.27612524497,209.4127612524497,45.75542748984049,-35.1918213395086,1.094181581371029,14,89.05695113467668,120.35581011777305
5Y,"EMA(9/50) | RSI>50 | SL:15% | Pivot(5,5)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | SL:15% | Pivot(5,7)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | SL:15% | Pivot(7,5)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | SL:15% | Pivot(7,7)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:15%,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:15%,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:15%,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:15%,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,EMA(9/50) | RSI>50,29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | Pivot(7,7)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
